"","Shape_Area","OBJECTID","geology","geolarge","geolocal","curve10plan","curve10prof","curve30plan","curve30prof","elevation","aspect","slope","twi","dist_river","dist_stream","stream_min","x","y","streamcat","radians","northness","eastness","logarea"
"126479",401.269751639,126480,1,5,6,-0.0308977818489075,0.0154071915149689,-0.000889666080474854,0.00286754608154297,2414.92797851562,279.636688232422,41.6786193847656,4.6399564743042,345.108520507812,4.9915132522583,0,873190.84162785,8548687.33897809,1,4.88058091902865,0.16740007577202,-0.985889047830192,2.60343642314927
"126485",1524.55308923,126486,1,6,6,-0.00791269063949585,0.0011282904446125,0.000456642135977745,0.00246174097061157,1961.48156738281,143.021621704102,45.524600982666,4.8910813331604,86.6242752075195,3.79546093940735,0,872070.22478457,8548655.98569836,1,2.49619820027836,-0.798862560066872,0.601513599283842,3.18314255232107
"126567",615.218722405,126568,6,9,7,-0.0398932075500488,0.0115789103507996,-0.00773802220821381,0.00784796237945557,2720.48168945312,155.20133972168,35.6602592468262,6.98289680480957,20.250789642334,5.81948614120483,0,868922.42964466,8548692.80113417,1,2.70877438164958,-0.907787286145873,0.419430856175259,2.78902954349275
"126638",11964.915506,126639,1,5,6,-0.0156976497173309,0.00675028026103973,-0.00473828554153442,0.0029551362991333,2503.73388671875,221.33837890625,45.3469390869141,4.74752950668335,213.76789855957,10.3723096847534,0,873462.9364712,8548612.08820584,1,3.86308347294083,-0.750821870616403,-0.660504745330482,4.07790963605372
"126640",187.215680012,126641,1,6,7,-0.026565113067627,0.0174646377563477,-0.00642775058746338,0.00229685828089714,2308.87377929688,311.376525878906,45.3348808288574,4.26029825210571,378.343688964844,5.36962699890137,0,873046.42103018,8548705.07456853,1,5.43454559000824,0.661004488798227,-0.750381946603591,2.27234221970929
"126650",527.28625739,126651,1,6,6,-0.0277888250350952,-0.00138925224542618,-0.0125932490825653,0.00238935008645058,2359.96362304688,297.877624511719,39.6413383483887,5.70215225219727,371.575744628906,3.08882141113281,0,873126.37461758,8548708.77505211,1,5.19894531574886,0.467584645181824,-0.883948301423894,2.72204645250449
"126655",150.106526405,126656,6,9,6,-0.000704972594976425,0.00526698887348175,0.00428134232759476,0.0115726363658905,2916.63305664062,139.030548095703,30.7713832855225,5.7572603225708,9.78119850158691,9.65969562530518,1.10071074962616,868006.74604993,8548711.66125723,0,2.42654082512235,-0.755059260551469,0.655656551142035,2.17639957512175
"126656",464.337891649,126657,2,6,6,-0.0151888597011566,0.00972867548465729,-0.00561140775680542,0.00505017220973969,2683.78466796875,339.574951171875,35.5414619445801,6.24556684494019,196.277053833008,4.52158308029175,0,869714.65993361,8548704.27066939,1,5.9267009552482,0.93712950962047,-0.348981779178364,2.66683412511053
"126737",254.142795861,126738,1,5,6,-0.00240449443459511,0.00338234037160873,0.00460379809141159,0.0012238547205925,2251.76611328125,302.363861083984,44.2991104125977,3.83693313598633,373.320281982422,29.6836948394775,22.832706451416,872959.73617715,8548720.03466114,0,5.27724491495827,0.535294134438499,-0.844665726566278,2.40507780334756
"126814",354.249244977,126815,2,6,6,-0.0027746906876564,0.0105775547027588,-0.00240030899643898,0.0055300897359848,2670.56323242188,331.436401367188,27.278923034668,6.18489122390747,182.82991027832,3.73982739448547,0,869719.9647619,8548731.19758743,1,5.78465646481887,0.878286922501634,-0.478133957968485,2.54930893329445
"126822",4829.94544518,126823,5,5,6,0.00609545409679413,-0.00494305074214935,0.00475477963685989,-0.00180400773882866,2476.58227539062,159.135818481445,18.9435195922852,4.64437007904053,300.875305175781,15.6273593902588,0,870978.97462767,8548685.5034792,1,2.77744399035726,-0.934427306672051,0.356153911315905,3.68394222537033
"126830",273.175397106,126831,6,9,6,0.00414395272731781,-0.00397405833005905,0.000722867175936699,0.00534135162830353,2923.7646484375,151.44091796875,35.8860931396484,5.05012273788452,26.6402740478516,5.96428155899048,0,868025.52707646,8548735.71760101,1,2.64314264079733,-0.878324610866189,0.478064721504063,2.43644158306863
"126831",4211.39632007,126832,1,3,5,0.00334102094173431,-0.00917105555534363,0.0127594089508057,-0.0065378338098526,2496.99780273438,250.440368652344,36.9118690490723,3.50205731391907,278.476898193359,45.6071128845215,0,873330.286548,8548674.55546878,1,4.3710090128918,-0.334787744988709,-0.942293566679395,3.62442611330828
"126841",263.155065071,126842,1,5,5,0.00595986008644104,0.0521526575088501,0.0175368309020996,0.011703634262085,2019.97937011719,89.3479919433594,35.1470909118652,3.77537059783936,154.326889038086,14.0551347732544,0,872051.54407859,8548738.21295465,1,1.55941663945699,0.0113794417330648,0.999935252056774,2.42021173350669
